Timestamp,Sector,Organisation_Size,Fleet_Size,Monthly_Fuel_Spend NGN,Fuel_Theft_Incidents,Fuel_pct_of_Budget,Monthly_Fuel_Transactions,Payment_Method,Digital_Tracking_Usage,Satisfaction_1_5,Hours_Week_on_Reconciliation,Smart_Card_Adoption,Cost_Savings_pct,Fuel_Spend_Trend,Digital_Tool_Start_Date,Role,State,Years_Managing_Fleet,Adoption_Barrier,Annual_Fuel_Spend_NGN
4/29/2026 16:56:00,OIL AND GAS,11 - 50 EMPLOYEES,6 - 20,"£13,543,572.00",0,41,218,MIX OF CASH AND CARD,NO,3,13,YES I WOULD,0,INCREASED,not applicable ,Finance Manager,Ogun,14,NO PERCEIVED NEED,162691333
4/29/2026 17:01:00,LOGISTICS/TRANSPORT,51 - 200 EMPLOYEES,1 - 5,"£11,882,622.00",2,38,101,MIX OF CASH AND CARD,NO,1,14,ALREADY USING IT,8,INCREASED,not applicable ,CEO/DIRECTOR,Abuja,12,COST,142691309
4/29/2026 17:08:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,21 - 50,"£12,521,906.00",1,40,333,COMPANY ACCOUNT/ CREDIT,NO,3,15,NO I WOULD NOT,0,STAYED THE SAME,not applicable ,Finance Manager,Kano,6,NO PERCEIVED NEED,150308652
4/29/2026 19:44:00,OIL AND GAS,51 - 200 EMPLOYEES,21 - 50,"£18,808,844.00",2,23,185,COMPANY ACCOUNT/ CREDIT,NO,5,21,YES I WOULD,0,STAYED THE SAME,not applicable ,CEO/DIRECTOR,Kaduna,6,TRUST AND SECURITY,225631355
4/29/2026 21:07:00,Other,11 - 50 EMPLOYEES,1 - 5,"£6,242,495.00",2,27,254,CASH ONLY,YES,1,12,NOT SURE,0,DECREASED,May 2023,OPERATIONS MANAGER,Kano,13,COST,74777421
4/30/2026 00:44:00,Other,11 - 50 EMPLOYEES,100 +,"£8,258,930.00",1,40,20,MIX OF CASH AND CARD,NO,5,11,YES I WOULD,0,INCREASED,not applicable ,Fleet Manager,Kano,7,NO PERCEIVED NEED,99304980
4/30/2026 01:28:00,OIL AND GAS,200 +,1 - 5,"£13,634,724.00",3,58,110,MIX OF CASH AND CARD,NO,1,23,YES I WOULD,0,INCREASED,not applicable ,Fleet Manager,Kaduna,13,TRUST AND SECURITY,163307444
4/30/2026 02:25:00,OIL AND GAS,1 - 10 EMPLOYEES,100 +,"£22,626,588.00",3,69,109,COMPANY ACCOUNT/ CREDIT,NO,4,7,NO I WOULD NOT,0,INCREASED,not applicable ,CEO/DIRECTOR,Lagos,7,LACK OF AWARENESS,271430714
4/30/2026 04:05:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,51 - 100,"£2,354,377.00",1,66,342,MIX OF CASH AND CARD,NO,2,9,NO I WOULD NOT,0,STAYED THE SAME,not applicable ,Fleet Manager,Kano,12,COST,27928347
4/30/2026 07:39:00,LOGISTICS/TRANSPORT,1 - 10 EMPLOYEES,21 - 50,"£5,143,588.00",3,66,327,MIX OF CASH AND CARD,PLANNING TO,5,23,ALREADY USING IT,19,INCREASED,not applicable ,Fleet Manager,Abuja,14,NO PERCEIVED NEED,61974518
4/30/2026 09:47:00,OIL AND GAS,51 - 200 EMPLOYEES,6 - 20,"£24,590,386.00",5,51,78,MIX OF CASH AND CARD,NO,1,9,YES I WOULD,0,INCREASED,not applicable ,Fleet Manager,Kaduna,13,COST,294746524
4/30/2026 10:07:00,LOGISTICS/TRANSPORT,51 - 200 EMPLOYEES,1 - 5,"£11,842,486.00",2,68,75,COMPANY ACCOUNT/ CREDIT,PLANNING TO,3,16,NOT SURE,0,STAYED THE SAME,not applicable ,CEO/DIRECTOR,Ogun,10,NO PERCEIVED NEED,142238506
4/30/2026 10:22:00,Other,200 +,100 +,"£2,795,441.00",1,66,293,MIX OF CASH AND CARD,PLANNING TO,1,21,NOT SURE,0,INCREASED,not applicable ,Fleet Manager,Kano,4,NO PERCEIVED NEED,33447600
4/30/2026 16:33:00,MANUFACTURING,1 - 10 EMPLOYEES,51 - 100,"£5,016,598.00",2,63,72,CASH ONLY,NO,1,5,NO I WOULD NOT,0,INCREASED,not applicable ,Fleet Manager,Oyo,8,COST,60369912
4/30/2026 16:54:00,PUBLIC SECTOR,51 - 200 EMPLOYEES,6 - 20,"£22,785,613.00",2,67,238,COMPANY ACCOUNT/ CREDIT,PLANNING TO,4,14,ALREADY USING IT,5,INCREASED,not applicable ,Finance Manager,Ogun,6,TRUST AND SECURITY,273842473
4/30/2026 18:38:00,LOGISTICS/TRANSPORT,51 - 200 EMPLOYEES,21 - 50,"£14,690,518.00",4,61,311,COMPANY ACCOUNT/ CREDIT,YES,5,21,NOT SURE,0,INCREASED,Apr 2025,Fleet Manager,Kano,12,TRUST AND SECURITY,175907113
4/30/2026 18:48:00,OIL AND GAS,200 +,51 - 100,"£14,607,626.00",2,31,51,MIX OF CASH AND CARD,PLANNING TO,3,11,ALREADY USING IT,6,STAYED THE SAME,not applicable ,Finance Manager,Delta,12,LACK OF AWARENESS,175735479
4/30/2026 19:32:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,6 - 20,"£13,918,213.00",2,42,258,MIX OF CASH AND CARD,YES,1,19,YES I WOULD,0,INCREASED,Jan 2025,OPERATIONS MANAGER,Ogun,11,NO PERCEIVED NEED,166611502
4/30/2026 20:55:00,OIL AND GAS,200 +,6 - 20,"£21,214,741.00",3,48,222,MIX OF CASH AND CARD,NO,2,2,NOT SURE,0,STAYED THE SAME,not applicable ,CEO/DIRECTOR,Delta,11,NO PERCEIVED NEED,254422890
4/30/2026 21:31:00,LOGISTICS/TRANSPORT,200 +,100 +,"£1,411,000.00",3,68,344,MIX OF CASH AND CARD,YES,1,7,NOT SURE,0,STAYED THE SAME,Nov 2022,OPERATIONS MANAGER,Rivers,14,NO PERCEIVED NEED,17399975
4/30/2026 21:34:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,1 - 5,"£11,844,768.00",1,38,132,CASH ONLY,NO,3,18,YES I WOULD,0,STAYED THE SAME,not applicable ,OPERATIONS MANAGER,Abuja,14,COST,142346726
4/30/2026 21:47:00,OIL AND GAS,51 - 200 EMPLOYEES,51 - 100,"£18,873,417.00",3,66,307,CASH ONLY,PLANNING TO,4,5,NOT SURE,0,INCREASED,not applicable ,OPERATIONS MANAGER,Lagos state ,7,LACK OF AWARENESS,226050834
4/30/2026 22:30:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,6 - 20,"£17,112,196.00",2,42,358,MIX OF CASH AND CARD,PLANNING TO,2,9,ALREADY USING IT,23,INCREASED,not applicable ,Fleet Manager,Delta state ,14,LACK OF AWARENESS,205633881
5/1/2026 02:05:00,LOGISTICS/TRANSPORT,1 - 10 EMPLOYEES,1 - 5,"£19,515,118.00",0,55,39,MIX OF CASH AND CARD,NO,1,8,NO I WOULD NOT,0,INCREASED,not applicable ,Fleet Manager,Delta,12,COST,234651798
5/1/2026 03:13:00,LOGISTICS/TRANSPORT,51 - 200 EMPLOYEES,51 - 100,"£10,658,222.00",4,65,364,MIX OF CASH AND CARD,YES,2,0,NOT SURE,0,INCREASED,Apr 2025,CEO/DIRECTOR,Abuja,11,NO PERCEIVED NEED,127491058
5/1/2026 03:39:00,OIL AND GAS,11 - 50 EMPLOYEES,6 - 20,"£17,967,339.00",2,36,243,CASH ONLY,NO,4,14,YES I WOULD,0,STAYED THE SAME,not applicable ,Fleet Manager,Delta,3,TRUST AND SECURITY,215157929
5/1/2026 03:44:00,LOGISTICS/TRANSPORT,51 - 200 EMPLOYEES,6 - 20,"£17,637,032.00",0,38,245,COMPANY ACCOUNT/ CREDIT,PLANNING TO,2,8,YES I WOULD,0,INCREASED,not applicable ,OPERATIONS MANAGER,Abuja,14,COST,212068883
5/1/2026 04:32:00,LOGISTICS/TRANSPORT,1 - 10 EMPLOYEES,21 - 50,"£5,991,368.00",4,48,150,FUEL CARD ONLY,NO,2,0,YES I WOULD,0,STAYED THE SAME,not applicable ,Fleet Manager,Kaduna,14,LACK OF AWARENESS,71685135
5/1/2026 08:25:00,Other,11 - 50 EMPLOYEES,6 - 20,"£20,184,662.00",3,36,193,CASH ONLY,NO,5,16,NO I WOULD NOT,0,INCREASED,not applicable ,OPERATIONS MANAGER,Kano,5,TRUST AND SECURITY,242338518
5/1/2026 11:16:00,Other,11 - 50 EMPLOYEES,6 - 20,"£20,783,117.00",3,24,323,MIX OF CASH AND CARD,NO,4,0,YES I WOULD,0,INCREASED,not applicable ,Fleet Manager,Delta,3,LACK OF AWARENESS,249456260
5/1/2026 11:21:00,Other,11 - 50 EMPLOYEES,51 - 100,"£21,061,344.00",3,41,196,FUEL CARD ONLY,PLANNING TO,3,21,YES I WOULD,0,INCREASED,not applicable ,CEO/DIRECTOR,ABIA ,4,LACK OF AWARENESS,252915657
5/1/2026 16:00:00,CONSTRUCTION,1 - 10 EMPLOYEES,6 - 20,"£4,445,287.00",2,38,307,COMPANY ACCOUNT/ CREDIT,NO,3,6,YES I WOULD,0,INCREASED,not applicable ,Finance Manager,Ogun,1,COST,53463124
5/1/2026 16:03:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,6 - 20,"£21,320,976.00",4,37,42,MIX OF CASH AND CARD,YES,4,15,NO I WOULD NOT,0,DECREASED,Oct 2022,Fleet Manager,Oyo,5,LACK OF AWARENESS,256070151
5/1/2026 16:50:00,PUBLIC SECTOR,11 - 50 EMPLOYEES,21 - 50,"£7,210,373.00",0,28,241,MIX OF CASH AND CARD,NO,1,9,YES I WOULD,0,INCREASED,not applicable ,Finance Manager,Kano state ,10,TRUST AND SECURITY,86931623
5/1/2026 17:43:00,LOGISTICS/TRANSPORT,1 - 10 EMPLOYEES,6 - 20,"£20,734,342.00",1,65,173,MIX OF CASH AND CARD,YES,1,8,NO I WOULD NOT,0,DECREASED,Jul 2023,Fleet Manager,Lagos,9,COST,248900662
5/1/2026 23:37:00,PUBLIC SECTOR,51 - 200 EMPLOYEES,6 - 20,"£22,735,552.00",2,60,334,FUEL CARD ONLY,NO,2,11,NOT SURE,0,INCREASED,not applicable ,CEO/DIRECTOR,Lagos,13,TRUST AND SECURITY,272786536
5/2/2026 01:46:00,MANUFACTURING,1 - 10 EMPLOYEES,51 - 100,"£23,466,197.00",5,53,81,CASH ONLY,YES,1,0,YES I WOULD,0,INCREASED,Jul 2023,CEO/DIRECTOR,Kano,7,NO PERCEIVED NEED,281578722
5/2/2026 02:48:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,100 +,"£16,159,024.00",3,21,177,MIX OF CASH AND CARD,PLANNING TO,5,16,YES I WOULD,0,INCREASED,not applicable ,OPERATIONS MANAGER,Lagos,13,TRUST AND SECURITY,194009301
5/2/2026 03:55:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,21 - 50,"£24,254,539.00",2,22,373,MIX OF CASH AND CARD,YES,3,19,NOT SURE,0,INCREASED,Sep 2023,CEO/DIRECTOR,Oyo,5,LACK OF AWARENESS,291518766
5/2/2026 05:38:00,MANUFACTURING,200 +,21 - 50,"£15,513,125.00",3,22,105,FUEL CARD ONLY,YES,2,5,YES I WOULD,0,INCREASED,Aug 2024,Finance Manager,Delta,8,TRUST AND SECURITY,186144071
5/2/2026 08:59:00,MANUFACTURING,51 - 200 EMPLOYEES,51 - 100,"£6,053,762.00",2,44,232,CASH ONLY,YES,3,7,YES I WOULD,0,INCREASED,Jan 2022,CEO/DIRECTOR,Lagos,14,LACK OF AWARENESS,72366323
5/2/2026 09:27:00,CONSTRUCTION,11 - 50 EMPLOYEES,6 - 20,"£24,426,616.00",1,58,284,FUEL CARD ONLY,PLANNING TO,3,24,YES I WOULD,0,INCREASED,not applicable ,Fleet Manager,Delta,2,NO PERCEIVED NEED,293518213
5/2/2026 12:11:00,LOGISTICS/TRANSPORT,51 - 200 EMPLOYEES,6 - 20,"£17,792,395.00",1,66,40,COMPANY ACCOUNT/ CREDIT,NO,1,6,ALREADY USING IT,11,INCREASED,not applicable ,CEO/DIRECTOR,Kano,12,LACK OF AWARENESS,214004649
5/2/2026 12:16:00,PUBLIC SECTOR,51 - 200 EMPLOYEES,6 - 20,"£21,207,466.00",2,30,42,FUEL CARD ONLY,YES,5,5,YES I WOULD,0,STAYED THE SAME,May 2023,Finance Manager,Ogun,7,TRUST AND SECURITY,254253977
5/2/2026 13:16:00,OIL AND GAS,11 - 50 EMPLOYEES,6 - 20,"£18,317,411.00",3,29,46,CASH ONLY,NO,4,6,YES I WOULD,0,INCREASED,not applicable ,Fleet Manager,Kaduna,9,COST,219550333
5/2/2026 13:34:00,PUBLIC SECTOR,51 - 200 EMPLOYEES,21 - 50,"£4,338,002.00",1,55,276,FUEL CARD ONLY,YES,3,0,ALREADY USING IT,8,INCREASED,Nov 2022,OPERATIONS MANAGER,Ogun,2,TRUST AND SECURITY,51703865
5/2/2026 14:31:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,51 - 100,"£4,177,160.00",0,23,93,MIX OF CASH AND CARD,PLANNING TO,2,17,YES I WOULD,0,INCREASED,not applicable ,Finance Manager,Lagos,11,NO PERCEIVED NEED,49980946
5/2/2026 15:38:00,LOGISTICS/TRANSPORT,51 - 200 EMPLOYEES,6 - 20,"£12,728,118.00",1,33,46,MIX OF CASH AND CARD,YES,4,18,YES I WOULD,0,INCREASED,Dec 2024,OPERATIONS MANAGER,Kaduna,7,COST,152795057
5/2/2026 15:56:00,Other,11 - 50 EMPLOYEES,21 - 50,"£20,274,571.00",4,22,379,MIX OF CASH AND CARD,YES,5,4,NO I WOULD NOT,0,INCREASED,Jul 2024,OPERATIONS MANAGER,Rivers,4,LACK OF AWARENESS,243160581
5/2/2026 16:31:00,OIL AND GAS,200 +,6 - 20,"£21,213,876.00",1,21,184,CASH ONLY,PLANNING TO,5,22,ALREADY USING IT,19,INCREASED,not applicable ,Finance Manager,Kano,6,TRUST AND SECURITY,254373467
5/2/2026 17:50:00,LOGISTICS/TRANSPORT,51 - 200 EMPLOYEES,100 +,"£4,998,986.00",3,44,135,CASH ONLY,NO,2,11,NOT SURE,0,STAYED THE SAME,not applicable ,OPERATIONS MANAGER,Oyo,4,NO PERCEIVED NEED,59494477
5/2/2026 17:53:00,LOGISTICS/TRANSPORT,1 - 10 EMPLOYEES,6 - 20,"£5,325,243.00",0,63,75,CASH ONLY,NO,4,21,YES I WOULD,0,INCREASED,not applicable ,CEO/DIRECTOR,Abuja,5,NO PERCEIVED NEED,63917664
5/2/2026 19:03:00,MANUFACTURING,51 - 200 EMPLOYEES,1 - 5,"£1,997,598.00",3,23,233,MIX OF CASH AND CARD,YES,2,19,ALREADY USING IT,14,INCREASED,Apr 2025,Fleet Manager,Rivers,11,NO PERCEIVED NEED,23780218
5/2/2026 19:26:00,LOGISTICS/TRANSPORT,1 - 10 EMPLOYEES,51 - 100,"£11,146,281.00",5,38,123,MIX OF CASH AND CARD,YES,3,20,NOT SURE,0,INCREASED,Jul 2022,Fleet Manager,PORT HARCOURT ,1,TRUST AND SECURITY,133363788
5/2/2026 20:58:00,Other,200 +,6 - 20,"£15,568,229.00",2,47,355,CASH ONLY,YES,4,24,ALREADY USING IT,11,DECREASED,Jul 2022,Fleet Manager,Lagos,14,LACK OF AWARENESS,186701722
5/2/2026 21:38:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,1 - 5,"£7,578,691.00",1,60,301,COMPANY ACCOUNT/ CREDIT,PLANNING TO,2,21,NO I WOULD NOT,0,INCREASED,not applicable ,CEO/DIRECTOR,Delta,2,TRUST AND SECURITY,90766220
5/2/2026 22:35:00,LOGISTICS/TRANSPORT,200 +,1 - 5,"£10,456,680.00",2,44,115,CASH ONLY,YES,3,7,NOT SURE,0,INCREASED,Nov 2023,Fleet Manager,Oyo,14,LACK OF AWARENESS,125720842
5/2/2026 23:34:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,21 - 50,"£6,230,097.00",0,48,305,MIX OF CASH AND CARD,YES,2,4,NOT SURE,0,STAYED THE SAME,Jun 2022,Fleet Manager,Ogun,4,TRUST AND SECURITY,74965899
5/3/2026 02:12:00,PUBLIC SECTOR,11 - 50 EMPLOYEES,21 - 50,"£13,882,246.00",1,20,50,MIX OF CASH AND CARD,NO,5,22,NOT SURE,0,INCREASED,not applicable ,CEO/DIRECTOR,Oyo,4,NO PERCEIVED NEED,166637676
5/3/2026 03:37:00,LOGISTICS/TRANSPORT,1 - 10 EMPLOYEES,6 - 20,"£6,917,191.00",4,56,94,MIX OF CASH AND CARD,NO,2,7,NOT SURE,0,DECREASED,not applicable ,CEO/DIRECTOR,Kano,4,TRUST AND SECURITY,82531798
5/3/2026 07:04:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,51 - 100,"£11,906,957.00",2,44,96,FUEL CARD ONLY,PLANNING TO,2,7,NOT SURE,0,INCREASED,not applicable ,CEO/DIRECTOR,Lagos,14,LACK OF AWARENESS,142647778
5/3/2026 07:55:00,PUBLIC SECTOR,1 - 10 EMPLOYEES,1 - 5,"£11,592,397.00",1,37,342,COMPANY ACCOUNT/ CREDIT,NO,5,21,YES I WOULD,0,STAYED THE SAME,not applicable ,CEO/DIRECTOR,Lagos,4,COST,139130804
5/3/2026 08:25:00,LOGISTICS/TRANSPORT,200 +,6 - 20,"£4,906,447.00",1,40,354,MIX OF CASH AND CARD,NO,3,13,NO I WOULD NOT,0,INCREASED,not applicable ,Fleet Manager,Rivers,7,LACK OF AWARENESS,58713082
5/3/2026 08:38:00,Other,1 - 10 EMPLOYEES,51 - 100,"£12,283,051.00",2,27,323,MIX OF CASH AND CARD,YES,1,18,NO I WOULD NOT,0,STAYED THE SAME,Oct 2025,Fleet Manager,Lagos,3,COST,147236008
5/3/2026 09:31:00,OIL AND GAS,51 - 200 EMPLOYEES,6 - 20,"£1,648,032.00",0,58,210,MIX OF CASH AND CARD,PLANNING TO,2,15,YES I WOULD,0,INCREASED,not applicable ,CEO/DIRECTOR,Kaduna,13,NO PERCEIVED NEED,19379957
5/3/2026 10:36:00,LOGISTICS/TRANSPORT,51 - 200 EMPLOYEES,6 - 20,"£14,804,485.00",1,61,349,CASH ONLY,NO,2,13,ALREADY USING IT,6,INCREASED,not applicable ,CEO/DIRECTOR,Rivers,2,NO PERCEIVED NEED,178116070
5/3/2026 11:00:00,MANUFACTURING,1 - 10 EMPLOYEES,100 +,"£5,102,921.00",1,34,310,CASH ONLY,NO,1,9,YES I WOULD,0,INCREASED,not applicable ,CEO/DIRECTOR,Kaduna,1,TRUST AND SECURITY,61676578
5/3/2026 11:19:00,CONSTRUCTION,1 - 10 EMPLOYEES,21 - 50,"£18,135,587.00",6,60,310,COMPANY ACCOUNT/ CREDIT,PLANNING TO,5,3,ALREADY USING IT,20,INCREASED,not applicable ,CEO/DIRECTOR,Lagos,6,COST,218109514
5/3/2026 16:16:00,PUBLIC SECTOR,51 - 200 EMPLOYEES,21 - 50,"£10,547,865.00",0,59,333,MIX OF CASH AND CARD,NO,3,5,YES I WOULD,0,INCREASED,not applicable ,OPERATIONS MANAGER,Abuja,13,NO PERCEIVED NEED,126515094
5/3/2026 18:23:00,CONSTRUCTION,51 - 200 EMPLOYEES,6 - 20,"£18,271,149.00",0,31,334,MIX OF CASH AND CARD,NO,3,11,NOT SURE,0,INCREASED,not applicable ,Finance Manager,Abuja,9,NO PERCEIVED NEED,218960409
5/3/2026 18:33:00,CONSTRUCTION,200 +,21 - 50,"£13,858,966.00",4,33,49,COMPANY ACCOUNT/ CREDIT,NO,4,20,NO I WOULD NOT,0,INCREASED,not applicable ,CEO/DIRECTOR,Delta,4,NO PERCEIVED NEED,166674999
5/3/2026 19:10:00,OIL AND GAS,51 - 200 EMPLOYEES,21 - 50,"£5,277,255.00",2,58,375,CASH ONLY,YES,3,15,NOT SURE,0,DECREASED,Oct 2023,Fleet Manager,Ogun,5,NO PERCEIVED NEED,63458888
5/3/2026 19:38:00,MANUFACTURING,11 - 50 EMPLOYEES,100 +,"£21,706,558.00",0,51,36,FUEL CARD ONLY,YES,4,16,NO I WOULD NOT,0,DECREASED,Sep 2025,Fleet Manager,Rivers,2,LACK OF AWARENESS,260948433
5/3/2026 19:49:00,Other,200 +,6 - 20,"£10,368,226.00",5,29,178,MIX OF CASH AND CARD,YES,5,22,NOT SURE,0,INCREASED,May 2025,Fleet Manager,Ogun,5,COST,124390180
5/3/2026 21:15:00,MANUFACTURING,200 +,51 - 100,"£11,853,867.00",1,58,219,FUEL CARD ONLY,NO,3,20,NOT SURE,0,STAYED THE SAME,not applicable ,OPERATIONS MANAGER,Abuja,10,LACK OF AWARENESS,142195736
5/3/2026 21:21:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,6 - 20,"£18,136,517.00",4,36,387,CASH ONLY,NO,4,10,NO I WOULD NOT,0,STAYED THE SAME,not applicable ,Finance Manager,Rivers,1,TRUST AND SECURITY,217478263
5/3/2026 22:19:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,21 - 50,"£19,999,251.00",2,23,66,MIX OF CASH AND CARD,YES,1,11,NOT SURE,0,INCREASED,Jul 2024,CEO/DIRECTOR,Kaduna,12,COST,240304590
5/4/2026 00:08:00,LOGISTICS/TRANSPORT,1 - 10 EMPLOYEES,6 - 20,"£6,753,460.00",7,38,292,MIX OF CASH AND CARD,YES,2,20,NOT SURE,0,DECREASED,Oct 2022,Fleet Manager,Abuja,6,TRUST AND SECURITY,81150208
5/4/2026 00:15:00,PUBLIC SECTOR,11 - 50 EMPLOYEES,51 - 100,"£20,293,897.00",1,36,328,MIX OF CASH AND CARD,PLANNING TO,4,20,NOT SURE,0,INCREASED,not applicable ,OPERATIONS MANAGER,Oyo,1,LACK OF AWARENESS,243330348
5/4/2026 01:10:00,OIL AND GAS,11 - 50 EMPLOYEES,1 - 5,"£16,992,243.00",3,31,134,FUEL CARD ONLY,YES,4,2,NO I WOULD NOT,0,STAYED THE SAME,Jul 2024,OPERATIONS MANAGER,Abuja,11,LACK OF AWARENESS,204133700
5/4/2026 03:05:00,CONSTRUCTION,51 - 200 EMPLOYEES,21 - 50,"£13,254,610.00",0,50,188,CASH ONLY,NO,5,2,NO I WOULD NOT,0,STAYED THE SAME,not applicable ,Fleet Manager,Oyo,1,LACK OF AWARENESS,158975938
5/4/2026 03:28:00,LOGISTICS/TRANSPORT,51 - 200 EMPLOYEES,21 - 50,"£21,824,647.00",0,67,384,MIX OF CASH AND CARD,YES,4,5,NOT SURE,0,INCREASED,Jul 2023,Fleet Manager,Abuja,7,LACK OF AWARENESS,261776105
5/4/2026 05:13:00,OIL AND GAS,200 +,100 +,"£12,373,421.00",3,52,172,CASH ONLY,YES,4,19,YES I WOULD,0,INCREASED,Jul 2024,Finance Manager,Kaduna,10,NO PERCEIVED NEED,148614388
5/4/2026 05:55:00,MANUFACTURING,11 - 50 EMPLOYEES,21 - 50,"£14,107,917.00",2,64,260,MIX OF CASH AND CARD,PLANNING TO,5,18,NO I WOULD NOT,0,STAYED THE SAME,not applicable ,CEO/DIRECTOR,Kaduna,11,NO PERCEIVED NEED,169132483
5/4/2026 07:09:00,LOGISTICS/TRANSPORT,1 - 10 EMPLOYEES,6 - 20,"£20,343,240.00",3,32,341,FUEL CARD ONLY,PLANNING TO,2,10,ALREADY USING IT,23,STAYED THE SAME,not applicable ,Fleet Manager,Delta,1,LACK OF AWARENESS,244050927
5/4/2026 08:41:00,LOGISTICS/TRANSPORT,51 - 200 EMPLOYEES,100 +,"£14,468,574.00",1,41,27,CASH ONLY,NO,3,12,YES I WOULD,0,STAYED THE SAME,not applicable ,Finance Manager,Abuja,3,NO PERCEIVED NEED,173402290
